x,y,z
11.9036,9.82766,-16.5041
12.3431,9.87123,-16.588
12.193,11.0413,-14.7668
12.1969,11.0515,-14.587
12.1943,11.0282,-14.5766
11.6491,10.4417,-14.611
11.6634,10.4231,-14.7221
11.6941,10.4733,-14.8216
12.4689,10.306,-16.6995
12.5243,10.0315,-16.6638
13.0306,9.72009,-16.6485
11.8488,9.79269,-10.0182
11.8934,9.80664,-10.1407
11.8184,9.82185,-10.1667
12.1615,10.1847,-9.91181
12.1795,10.157,-9.89466
12.2151,10.1729,-10.0356
12.4835,10.3415,-12.3955
12.4826,10.3396,-12.3077
12.5002,10.3542,-12.3892
12.2415,10.2201,-11.0282
12.3256,10.2215,-10.9912
11.9398,9.81341,-11.0636
11.7319,9.78444,-8.71649
11.7762,9.77652,-8.71649
11.7641,9.86734,-9.10889
12.2609,10.2494,-10.6708
12.3133,10.2292,-10.9052
12.3256,10.2215,-10.9912
12.0768,10.1274,-9.08498
12.0038,10.1216,-8.71649
12.0325,10.0966,-8.71649
12.8209,10.537,-15.5918
12.7784,10.6628,-15.2171
12.951,10.6217,-15.9826
12.6987,10.5241,-14.8245
12.6794,10.3988,-15.0088
12.7925,10.5308,-14.4706
11.9531,10.7225,-11.9276
11.9764,10.71,-11.9298
11.9781,10.6975,-11.8854
11.9712,10.7031,-11.8489
11.9781,10.6975,-11.8854
11.9764,10.71,-11.9298
12.7467,10.555,-14.5838
12.6987,10.5241,-14.8245
12.6628,10.4263,-14.0075
13.1034,10.5474,-16.594
12.8821,10.5408,-16.6073
12.4689,10.306,-16.6995
12.6198,10.4547,-13.6952
12.6628,10.4263,-14.0075
12.6105,10.3895,-13.6036
12.7463,11.2096,-16.6119
12.2965,11.2376,-16.5318
11.9417,10.8242,-16.7425
12.4689,10.306,-16.6995
12.8821,10.5408,-16.6073
12.7463,11.2096,-16.6119
12.176,10.0766,-15.3226
12.3604,9.96001,-15.6177
12.2536,9.94166,-14.6578
12.4525,10.5221,-13.1419
12.4758,10.2956,-13.122
